Name,Category,Description,Price
2 McAloo Tikki + 2 Fries (L),Sharing Combos,"Stay home, stay safe and share a combo- 2 McAloo Tikki Burgers + 2 Fries (L)",319.05
6 Pc Nuggets + McChicken + Coke,Sharing Combos,"Tender and juicy chicken patty cooked to perfection, with creamy mayonnaise and crunchy lettuce adding flavour to each bite. Served with 6 Pc Nuggets and Coke.",329.53
McSpicy Chicken Burger + McChicken Burger + Fries (M),Sharing Combos,Flat 15% Off on McSpicy Chicken Burger + McChicken Burger + Fries (M),375.24
Corn & Cheese Burger +McVeggie Burger+Fries (M),Sharing Combos,Flat 15% Off on Corn & Cheese Burger +McVeggie Burger+Fries (M),332.38
2 McChicken Burger	 + 2 Fries (M)	 + Veg Pizza McPuff,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - 2 McChicken Burger + 2 Fries (M) + Veg Pizza McPuff,387.62
2 McSpicy Chicken Burger  + 2 Fries (M)  + Veg Pizza McPuff,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - 2 McSpicy Chicken Burger + 2 Fries (M) + Veg Pizza McPuff,490.48
2 McVeggie Burger	 + 2 Fries (M)	 	+ Veg Pizza McPuff,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - 2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,387.62
McSpicy Fried Chicken - 2 Pc + 2 Fries (M)	 	+ McSpicy Chicken Burger,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - McSpicy Fried Chicken - 2 Pc + 2 Fries (M) + McSpicy Chicken Burger,439.05
McSpicy Paneer Burger + 2 Fries M + McAloo Tikki + Veg Pizza McPuff,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - McSpicy Paneer Burger  + 2 Fries (M) + McAloo Tikki Burger + Veg Pizza McPuff,387.62
McVeggie Burger + 2 Fries (M) + McAloo Tikki+ Veg Pizza McPuff,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - McVeggie Burger + 2 Fries (M) + McAloo Tikki Burger + Veg Pizza McPuff,305.71
2 McChicken Burger + Fries (L) + 2 Coke,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - 2 McChicken Burger + Fries (L) + 2 Coke,387.62
2 McSpicy Chicken Burger + Fries (L) + 2 Coke,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - 2 McSpicy Chicken Burger + Fries (L) + 2 Coke,489.53
2 McVeggie Burger + Fries (L) + 2 Coke,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - 2 McVeggie Burger + Fries (L) + 2 Coke,387.62
McSpicy Paneer Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - McSpicy Paneer Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,388.58
McVeggie Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,Sharing Combos,Get the best value in your meal for 2. Save big on your favourite sharing meal - McVeggie Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,337.15
